_,Id,CreatedDate,ProductLR__r,ProductLR__r.Url_Name__c,Petition_Type__c,Status,Petition_Details__r,Petition_Details__r.Content_Type__c,Petition_Details__r.Recommended_Category__c,Description,IsContentProfane__c,IsProfane__c,Category__c,Reason__c
[Case],500TV00000uE3UKYA0,2026-03-08T16:13:27.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Shum,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBHiEYAW,2026-03-07T13:31:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,跳伞不脱离的都是低能,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uEyE1YAK,2026-03-09T00:11:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,вся эта кровь мне,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uM2UWYA0,2026-03-10T23:08:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Fug8tive,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uH8CHYA0,2026-03-09T15:30:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,kikusete,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBpQTYA0,2026-03-07T17:47:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,JPN_GIVE_ME_CAR,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uH8FfYAK,2026-03-09T16:31:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,asd209864,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uJNGyYAO,2026-03-10T04:32:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,ttv/nuveii,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uInIHYA0,2026-03-10T00:26:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,WraithsRos3Toy,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uD08gYAC,2026-03-08T05:48:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,考试把女同桌草稿抄了,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uChE9YAK,2026-03-08T02:46:26.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Nectargods11,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDFFdYAO,2026-03-08T07:21:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,xX24k_Demon,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uEyIkYAK,2026-03-09T00:31:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Noobs Master,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uK2dMYAS,2026-03-10T10:29:39.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,TKG,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBQgWYAW,2026-03-07T13:48:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,zieZAC,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFxicYAC,2026-03-09T09:17:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,IXKizzyxXI,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uKnxLYAS,2026-03-10T16:13:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,zxy,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uH8qYYAS,2026-03-09T16:03:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,HGTN,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uC7NWYA0,2026-03-07T23:32:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Slaughter,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBfRIYA0,2026-03-07T17:52:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,森本　歩夢,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uD6adYAC,2026-03-08T07:34:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,snoopy_fusilli1,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDFInYAO,2026-03-08T07:00:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,药膏潮了,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBpQUYA0,2026-03-07T17:49:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,S117,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBQgnYAG,2026-03-07T15:06:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,フルールドリス,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uB4UoYAK,2026-03-07T10:33:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,afafaujm,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCsdvYAC,2026-03-08T02:55:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,ただのバカ,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBkNpYAK,2026-03-07T19:57:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,TTOK,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uB5NuYAK,2026-03-07T12:13:19.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,( ͡° ͜つ ͡°) 凸,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uH9jWYAS,2026-03-09T16:47:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Broadcom首席QuantumChipDesigner,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uKJpSYAW,2026-03-10T12:48:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,漣_Tk,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uC7QTYA0,2026-03-07T20:03:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Эль-Салами,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDlYoYAK,2026-03-08T11:45:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,UQF2,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFxpLYAS,2026-03-09T08:47:19.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,zako,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uJmFZYA0,2026-03-10T09:29:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,雑魚が自我もつな,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uE93WYAS,2026-03-08T17:41:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,DIEM_deXt,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uMCopYAG,2026-03-10T22:49:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,NY-Casti,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uKbjBYAS,2026-03-10T14:25:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,bandit.gg.way easy,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uB8rnYAC,2026-03-07T11:58:19.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Nagayotsuki,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCZLJYA4,2026-03-08T02:35:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Xwxxx.Boo!,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFZWkYAO,2026-03-09T04:34:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,E4ZY,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFZWpYAO,2026-03-09T05:14:28.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,下北泽天才突破手后藤一里,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHAZ9YAO,2026-03-09T18:08:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,TTOK,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uLzD8YAK,2026-03-10T21:00:26.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Bayle랭크,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCftZYAS,2026-03-08T01:31:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Rc_Hawk97,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDQJ8YAO,2026-03-08T09:06:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,DJへたれ６６６,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCZRaYAO,2026-03-08T01:28:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,LacosteTNfrere__,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDQJ9YAO,2026-03-08T09:14:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,093-922-6688 電話こいよw,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uLGUdYAO,2026-03-10T17:57:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,DropZzy__,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uB35gYAC,2026-03-07T10:27:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,яцмÎидィÏØпジ,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDliPYAS,2026-03-08T11:08:27.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,s4u,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uL4hwYAC,2026-03-10T16:07:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,umi-*,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uMaHbYAK,2026-03-11T00:00:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,BKC,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBbp9YAC,2026-03-07T16:31:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,オチソポセナルアックス大佐,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFZaAYAW,2026-03-09T06:57:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,ROLL点不抱团我屮似拟德玛,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uEyQlYAK,2026-03-09T00:04:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,RawInputOnlyPapi,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDQMNYA4,2026-03-08T08:49:26.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,mpaBKa_Vibe,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uK2aKYAS,2026-03-10T12:18:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,gussybossy,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHBQQYA4,2026-03-09T16:44:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,zenatixc け,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCvfEYAS,2026-03-08T04:25:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Fyter-,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHBRyYAO,2026-03-09T17:11:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,&#41;&#41;,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHBTcYAO,2026-03-09T16:22:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,masukou2,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFJNCYA4,2026-03-09T04:13:42.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,stankovic_613,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDlp1YAC,2026-03-08T12:36:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Scofield_Zeus,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDFQnYAO,2026-03-08T06:38:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,TrapppDro,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDlpCYAS,2026-03-08T13:06:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,loveme loveme plz,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFy2DYAS,2026-03-09T08:40:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,HEROkenta69,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHBjoYAG,2026-03-09T17:15:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Rastmars18,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uB6qDYAS,2026-03-07T11:42:19.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,かめぴTikTok,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDls7YAC,2026-03-08T11:13:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,NooB,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHBv4YAG,2026-03-09T16:55:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,TSR,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHC4fYAG,2026-03-09T16:31:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Worldslayer-_-,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHC4kYAG,2026-03-09T17:07:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,RYFY,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDlsFYAS,2026-03-08T12:01:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,CEC PokingSG,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uK2VQYA0,2026-03-10T10:28:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,365911419,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uLW6QYAW,2026-03-10T19:20:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,薛丁格的貓,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uEEUYYA4,2026-03-08T17:56:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,lastf9096,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHCHYYA4,2026-03-09T16:31:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,TTV_kobechan1222,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uD6dzYAC,2026-03-08T07:30:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,crylixxxx,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFZiIYAW,2026-03-09T06:14:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,やまだけいじょし,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDz5VYAS,2026-03-08T14:28:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,LGBT,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCvgcYAC,2026-03-08T03:37:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,BMT,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDQStYAO,2026-03-08T09:58:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,XSILENTDEMON363,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFy6yYAC,2026-03-09T09:34:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,TTV_Zalypa228cm,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uJuzKYAS,2026-03-10T10:29:40.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,SANAE TOKEN,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uEyUDYA0,2026-03-09T01:18:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,DemonicKuppy,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDQW7YAO,2026-03-08T09:40:28.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,ęğģħǳǆď,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHCivYAG,2026-03-09T16:51:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,STEPHHHH171717171717171717240,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFy8YYAS,2026-03-09T09:14:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Elyies,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFJRuYAO,2026-03-09T01:54:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,xLumy__【Youtube配信なう】,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uFJS5YAO,2026-03-09T02:50:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Aurelius,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uD6fOYAS,2026-03-08T06:00:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,jhhm,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uJc9OYAS,2026-03-10T06:18:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Zumorito 8Th,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uMObeYAG,2026-03-11T00:18:26.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Bananguardsteve,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uLW6LYAW,2026-03-10T18:47:26.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Broducer911,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uB9MqYAK,2026-03-07T13:37:26.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,Amenbo_1111,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHD2OYAW,2026-03-09T16:58:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,nakitu tenatako,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHD3pYAG,2026-03-09T15:39:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,¿¿¿vinc???,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uHD3uYAG,2026-03-09T16:09:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,港区OL,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCvgdYAC,2026-03-08T03:43:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,CNMD,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uKboCYAS,2026-03-10T15:01:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,TTV_DamnCheesman,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uLGPmYAO,2026-03-10T17:28:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,afwadwwgeadawfaw,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uDz2FYAS,2026-03-08T14:11:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,boku_goodboy,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uJIImYAO,2026-03-10T06:41:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],NAME,No Violation,LGBT,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uENqxYAG,2026-03-08T18:16:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,orgo234,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
